念	思
安闲	安逸
安闲	闲暇
安闲	空闲
安闲	悠闲
安闲	闲适
安详	平和
安详	沉着
安详	闲适
安详	沉寂
安详	安逸
安祥	宁静
安歇	安息
安歇	停顿
安歇	安眠
安心	释怀
安心	宽心
安心	定心
安逸	清闲
安逸	畅快
安逸	自在
安逸	闲适
安营	扎营
因此	是以
安在	何在
安葬	埋葬
因而	所以
因而	于是
安装	安设
安装	安置
谙练	熟练
谙练	操练
因而	因此
谙习	熟谙
因何	缘何
因何	何以
因素	成分
因为	由于
因袭	因循
因袭	模仿
按次	递次
按次	顺序
按次	顺次
按例	照例
按摩	推拿
按捺	抑制
按期	准时
按期	按时
按期	定时
按期	定期
按时	准时
按时	定时
按时	守时
因袭	沿袭
按序	按次
按序	顺序
按语	案语
按照	依照
案牍	文案
案卷	档册
案语	按语
暗暗	偷偷
暗暗	悄悄
暗藏	隐藏
暗藏	隐蔽
暗潮	暗流
暗淡	昏暗
暗淡	黯淡
暗澹	黯淡
暗澹	暗淡
暗地	背地
暗地	暗里
暗地	背后
因袭	沿用
因循	维持
因循	复旧
暗沟	阴沟
暗害	暗杀
暗害	谋害
暗号	信号
暗号	旗号
暗号	灯号
暗记	记号
暗记	暗号
暗箭	冷箭
因循	沿袭
暗里	私下
暗流	暗潮
暗码	密码
暗昧	暧昧
暗盘	黑市
暗杀	谋杀
暗杀	暗害
暗杀	行刺
暗射	影射
暗示	表示
暗示	默示
因由	来由
因由	起因
暗算	谋杀
暗算	构陷
暗算	暗害
因由	来源
因由	原因
暗香	幽香
暗笑	窃笑
暗意	暗示
暗影	阴影
暗语	隐语
暗语	切口
暗指	暗示
暗指	暗意
暗中	阴暗
暗中	黑暗
暗浊	黯澹
暗浊	暗淡
暗自	暗地
黯淡	暗淡
黯澹	暗淡
黯然	沮丧
因缘	姻缘
阴碍	妨碍
阴暗	暗淡
肮脏	邋遢
肮脏	污秽
肮脏	龌龊
肮脏	恶浊
昂贵	昂扬
昂贵	高贵
昂首	俯首
阴暗	惨然
阴曹	鬼门关
昂扬	振奋
昂扬	高昂
凹地	洼地
阴曹	地府
阴沉	阴郁
凹凸	高低
凹凸	坎坷
凹下	凹陷
凹陷	凹下
遨游	翱翔
遨游	飞翔
遨游	漫游
熬煎	磨难
熬煎	磨折
熬煎	折磨
熬炼	操练
熬炼	锻炼
翱翔	飞腾
翱翔	飞翔
翱游	遨游
阴沉	阴森
鏖战	酣战
傲岸	傲慢
傲岸	高慢
傲岸	孤高
傲慢	骄傲
傲慢	骄气
傲慢	狂妄
傲慢	高傲
傲睨	渺视
阴沉	昏暗
阴毒	邪恶
阴毒	泼辣
阴毒	残暴
阴毒	狠毒
傲视	睥睨
阴毒	阴险
阴恶	奸滑
阴恶	恶毒
阴恶	犀利
奥秘	奥妙
奥秘	奇异
奥秘	神秘
奥密	神秘
奥妙	机密
奥妙	奇奥
懊悔	悔恨
懊悔	后悔
懊悔	懊恼
懊恼	懊丧
懊恼	懊悔
懊丧	怨恨
懊丧	沮丧
懊丧	后悔
懊丧	懊悔
阴恶	刁顽
阴恶	凶险
阴恶	阴毒
阴恶	刁钻
阴沟	暗沟
阴寒	严寒
阴晦	昏暗
阴晦	阴郁
阴晦	阴沉
阴魂	鬼魂
阴冷	阴凉
阴凉	阴寒
阴凉	凉爽
阴霾	阴暗
阴谋	算计
阴谋	计划
阴谋	渴望
阴谋	盘算
阴谋	幻想
阴谋	诡计
阴森	阴雨
巴结	趋奉
巴结	逢迎
巴结	勾串
巴结	谄媚
巴望	盼望
扒开	拨开
扒犁	爬犁
扒窃	盗窃
扒手	翦绺
拔除	肃除
拔除	废除
拔除	撤销
阴森	阴暗
拔锚	起锚
阴世	黄泉
阴世	鬼域
阴事	秘籍
拔取	采用
拔取	选取
阴事	秘密
拔擢	汲引
拔擢	扶植
跋扈	猖獗
跋扈	嚣张
阴司	幽冥
阴司	地府
阴私	阴事
阴险	阴恶
跋文	后记
阴险	奸诈
把柄	要害
把柄	痛处
把柄	关键
把持	控制
把持	把握
把持	操纵
把脉	评脉
把脉	诊脉
把式	把势
把势	把式
把守	扼守
把玩	玩弄
把玩	簸弄
把稳	着重
把稳	小心
把稳	留心
把握	掌控
把握	掌握
把握	支配
把握	控制
把戏	花招
把戏	办法
罢黜	撤职
罢黜	免除
罢工	歇工
罢官	罢免
罢官	免职
罢了	结束
罢了	完了
罢了	已矣
罢免	罢黜
罢免	革职
罢免	免职
罢手	停止
罢手	收工
罢手	停工
罢休	停止
罢休	终结
罢休	截止
罢休	松手
罢职	撤职
霸道	残暴
霸道	王道
霸术	权术
霸占	侵占
霸占	占领
霸占	侵吞
阴险	凶险
阴险	狡黠
白痴	愚笨
白痴	呆子
白搭	白费
白搭	空费
白发	鹤发
阴险	奸险
白费	徒然
白费	糟蹋
白费	白搭
白费	枉然
阴险	狠毒
阴险	恶毒
白话	口语
阴影	暗影
阴雨	阴暗
阴雨	阴霾
白腊	石蜡
白蜡	洋蜡
阴郁	昏暗
阴郁	阴森
阴郁	幽暗
白日	白天
荫庇	隐蔽
荫蔽	障翳
荫蔽	湮没
荫藏	荫蔽
白手	空手
荫藏	隐蔽
音尘	音书
白首	白发
白叟	老人
白天	白昼
白皙	白净
音尘	消息
音律	乐律
白昼	白日
白昼	日间
百般	千般
音书	音讯
音书	消息
音书	音问
音调	腔调
音调	声调
音问	消息
音问	讯息
音响	声响
音信	讯息
音信	音尘
音信	消息
音讯	音尘
音讯	新闻
音讯	音问
音讯	信息
音讯	消息
姻缘	因缘
殷切	诚恳
百姓	人民
百姓	黎民
百姓	国民
殷切	恳切
殷切	诚心
殷切	竭诚
殷切	火急
殷勤	感情
殷勤	热情
殷商	富商
银白	雪白
银包	荷包
银号	钱庄
摆布	左右
摆布	安排
摆荡	摇曳
摆荡	晃动
摆荡	动摇
银河	云汉
摆阔	显摆
摆列	布列
摆列	陈设
摆弄	玩弄
摆设	陈列
摆设	陈设
摆设	安排
摆脱	解脱
败北	战败
败北	铩羽
败北	溃败
败坏	破坏
银河	河汉
败类	莠民
败露	透露
败露	失手
败落	衰落
败落	没落
败事	宣泄
败事	失手
败退	溃退
败兴	扫兴
败兴	失望
淫亵	淫媟
拜别	离去
拜别	告别
拜别	告辞
拜访	拜会
拜访	造访
拜访	光临
拜服	佩服
淫媟	淫亵
拜候	拜访
拜候	拜谒
拜候	拜望
拜会	拜谒
拜会	拜见
拜会	拜访
拜见	拜谒
拜见	拜访
拜年	贺年
拜托	委派
拜托	托付
拜望	拜访
拜望	探望
拜望	造访
拜谒	拜访
拜谒	拜见
淫雨	霪雨
夤缘	谄媚
扳话	攀谈
扳连	瓜葛
扳连	牵缠
扳谈	扳话
班驳	斑驳
夤缘	取悦
班配	般配
班师	奏凯
班师	凯旋
般配	匹配
般配	班配
颁布	公布
颁发	通告
颁发	颁布
颁奖	授奖
斑白	花白
斑驳	班驳
夤缘	奉迎
斑点	雀斑
斑斓	灿烂
斑斓	绚丽
斑斓	光泽
斑纹	花纹
搬场	搬家
搬动	挪动
搬动	转动
搬家	搬场
搬家	乔迁
搬家	搬迁
搬弄	中伤
搬弄	离间
搬弄	挑拨
霪雨	淫雨
搬迁	搬场
搬迁	乔迁
板屋	木屋
板滞	呆板
版图	疆土
办法	观点
办法	方法
办理	惩办
办理	处分
办理	处置
办理	料理
办事	任事
办事	管事
引导	启发
引导	带领
引导	指示
引导	开导
半路	半途
半晌	片刻
半晌	一会
半数	对折
半途	中途
引导	劝导
引导	疏通
引动	哄动
引发	激勉
引港	领港
引见	引荐
引荐	引见
引颈	引领
引领	引颈
半夜	夜半
伴计	店员
伴侣	伙伴
伴侣	同伙
伴同	伴随
伴有	伴随
拌合	搀和
拌合	拌杂
拌杂	搀和
扮演	饰演
扮装	化装
邦本	国本
邦畿	疆土
邦畿	版图
邦交	缔交
邦交	来往
邦交	建交
帮衬	光顾
帮忙	帮助
帮忙	维护
帮手	助手
帮手	助理
帮凶	走卒
帮凶	爪牙
帮助	搀扶
帮助	扶助
帮助	协助
绑缚	捆绑
绑架	勒索
绑架	勒诈
引路	带路
榜样	范例
榜样	模范
榜样	典型
榜样	表率
棒棰	棒槌
棒槌	棒棰
傍边	旁边
傍边	左右
傍观	旁观
傍门	歪路
引起	惹起
引起	引发
傍晚	黑夜
傍晚	黄昏
傍晚	天黑
磅礴	澎湃
包办	代替
包庇	保护
包庇	庇护
包藏	掩饰
包藏	遮盖
引去	解职
引去	引退
引去	下野
包抄	包围
包袱	负担
包管	保证
包管	担保
包含	蕴含
包含	包括
包含	包罗
包涵	海涵
包涵	包容
包括	囊括
包揽	承办
包揽	包办
包揽	经办
包罗	征求
包罗	包括
包罗	蕴涵
引申	推论
包容	宽容
包容	容纳
包围	包抄
包孕	包括
包孕	包含
包蕴	包含
包蕴	包孕
孢子	胞子
胞子	孢子
褒贬	评论
褒奖	嘉奖
褒奖	赞扬
褒奖	惩罚
褒奖	称颂
褒扬	表扬
薄材	绵力
薄待	怠慢
薄待	冷遇
薄待	懈怠
薄命	苦命
薄暮	拂晓
薄暮	晚上
薄情	薄幸
薄弱	微弱
薄弱	衰老
薄弱	单薄
薄幸	薄情
薄幸	无情
引申	引伸
引申	扩充
引申	践诺
饱览	观赏
饱满	丰满
饱满	充满
饱满	充分
饱暖	温饱
宝贝	宝物
宝贝	珍宝
宝马	名驹
引伸	引申
宝塔	浮图
宝物	珍宝
保镖	警卫
保镳	警卫
保藏	收藏
保持	维持
保持	坚持
保存	保管
保管	保存
保护	吝惜
保举	举荐
保留	保存
保留	保持
保留	保全
保密	守密
保密	隐瞒
保母	保姆
保姆	保母
保全	保存
保守	守旧
保守	顽固
保送	输送
保卫	防卫
保卫	防守
保卫	守卫
保卫	保护
保险	保障
保养	珍重
保养	调理
保养	调养
保障	保护
保证	保险
保重	珍重
鸨母	龟婆
堡垒	营垒
报仇	报复
引退	退职
报酬	酬报
报酬	工钱
报答	回报
报导	报道
报道	报导
报恩	报答
报恩	酬报
报复	复仇
报复	报仇
报告	陈诉
报告	汇报
报告	申报
报命	应命
报歉	道歉
报怨	埋怨
抱病	得病
引退	解职
引言	短序
引言	弁言
抱负	意向
抱负	志向
抱负	理想
抱恨	怀愁
抱愧	内疚
抱歉	内疚
抱屈	抱冤
抱冤	负屈
抱冤	抱屈
抱怨	埋怨
抱怨	怨恨
豹隐	隐居
豹隐	遁世
豹隐	幽居
暴跌	狂跌
暴动	暴乱
暴动	动乱
暴发	爆发
暴风	狂风
引用	援用
引诱	诱导
暴光	曝光
暴戾	凶残
暴戾	狞恶
暴戾	冷酷
引诱	眩惑
引诱	勾引
引诱	迷惑
暴露	戳穿
暴露	显露
暴露	败露
引诱	伙同
暴乱	动乱
暴虐	残酷
暴虐	残暴
暴虐	凶狠
暴虐	凶恶
引子	媒介
暴徒	歹徒
暴躁	烦躁
暴躁	焦急
暴躁	躁急
暴政	虐政
爆出	爆发
爆竹	炮竹
引子	前言
饮恨	抱恨
卑辈	晚辈
卑辈	小辈
卑鄙	下流
卑鄙	卑劣
卑鄙	下游
饮恨	含恨
饮酒	喝酒
饮泣	抽泣
饮泣	陨泣
饮宴	宴会
卑见	谬论
卑贱	轻贱
卑贱	卑劣
卑贱	低贱
卑贱	卑下
卑劣	卑鄙
卑劣	拙劣
隐蔽	掩饰
卑俗	俗气
卑俗	卑下
卑微	卑下
卑微	低微
卑污	下贱
卑下	卑贱
卑下	低贱
卑下	卑微
悲哀	悲伤
悲哀	悲痛
隐蔽	隐藏
隐蔽	暗藏
悲惨	凄惨
悲怆	颓唐
隐藏	潜伏
悲悼	哀伤
悲悼	追悼
悲悼	伤悼
悲忿	悲愤
悲愤	悲忿
悲观	沮丧
悲观	懊丧
悲观	败兴
悲观	失望
隐藏	藏匿
悲凉	悲惨
悲凄	凄切
悲凄	楚切
悲戚	酸楚
悲戚	辛酸
悲泣	哀泣
悲泣	哀号
悲伤	悲戚
悲伤	衰颓
悲伤	哀悼
悲伤	哀痛
悲伤	沉痛
悲叹	哀叹
悲啼	悲泣
悲啼	哀哭
悲啼	号泣
悲啼	痛哭
隐藏	奥秘
隐藏	躲藏
悲恸	沉痛
悲恸	悲痛
悲恸	悲哀
悲恸	痛哭
悲痛	哀伤
悲痛	痛苦
悲痛	难过
隐藏	躲避
隐讳	费解
碑本	碑帖
碑帖	碑本
北大	北京大学
北方	朔方
北风	寒风
北航	北京航空航天大学
北里	妓院
北里	勾栏
备案	存案
隐讳	忌讳
隐讳	掩饰
隐晦	朦胧
隐晦	模糊
背地	反面
背地	背后
背工	后手
背工	夹帐
背景	后台
背景	靠山
背静	僻静
背离	违背
背离	违反
背理	悖理
背面	后背
背面	后面
背面	背后
背叛	违背
背叛	反叛
隐晦	暧昧
背信	失约
背信	背约
隐迹	亡命
背约	违约
背约	食言
隐迹	逃亡
悖理	背理
隐迹	遁迹
隐居	遁世
隐瞒	隐讳
被动	被迫
被害	加害
被掳	拘捕
被骗	受愚
被骗	上当
被迫	强制
被选	当选
辈分	辈份
辈份	辈分
奔波	奔跑
奔波	奔走
奔驰	飞驰
奔驰	奔腾
奔放	豪放
奔流	奔腾
奔流	奔跑
奔忙	奔波
奔忙	奔走
奔跑	奔走
奔腾	奔驰
奔腾	驰骋
隐瞒	隐蔽
隐瞒	隐秘
本币	辅币
本地	当地
隐瞒	避忌
本分	天职
本籍	祖籍
本家	同族
隐瞒	遮盖
隐没	消失
本来	原本
本来	从来
本领	本事
本名	真名
隐没	隐匿
隐没	荫藏
隐秘	隐蔽
本能	天性
本年	今年
本钱	成本
本人	自己
本日	即日
本色	个性
本色	本质
本色	实际
本身	自身
本身	自己
本事	实力
本事	技能
本事	才华
本事	工夫
本事	办法
本事	权术
本事	花招
隐秘	荫蔽
隐秘	湮没
本体	本质
本土	外乡
隐秘	潜匿
本相	实情
本相	究竟
本心	良心
本心	本意
本性	秉性
本性	个性
本性	天性
本性	特性
隐匿	袪除
本意	良心
本原	底子
本原	基础
本源	根源
本源	来源
本旨	本心
本旨	原意
本质	实质
本子	簿本
本族	同族
笨伯	呆子
笨蛋	傻瓜
笨蛋	白痴
笨钝	笨拙
笨钝	愚拙
隐匿	隐藏
笨重	粗劣
笨重	深重
笨重	沉重
笨拙	蠢笨
笨拙	迟钝
笨嘴	笨口
崩溃	解体
崩裂	倾圯
迸发	爆发
隐匿	藏匿
逼近	迫近
隐匿	走避
逼迫	抑制
逼迫	压榨
逼迫	压迫
逼迫	抑遏
隐匿	闪避
隐匿	消失
逼真	传神
鼻祖	始祖
隐忍	哑忍
隐射	影射
比方	比如
比划	比画
比画	比划
比及	等到
比较	比拟
比来	近来
比力	比较
比力	斗劲
隐士	山人
隐私	秘密
比拟	比较
比年	连年
比如	比方
比如	例如
比赛	竞赛
比试	比赛
比试	较量
隐痛	隐衷
隐痛	苦衷
比武	交战
比武	交手
隐隐	模糊
隐语	暗语
隐语	瘦语
比喻	比方
比照	对照
比照	对比
彼岸	此岸
彼苍	青天
彼此	互相
彼此	相互
隐约	恍惚
笔陡	陡峭
笔划	笔画
笔画	笔划
笔记	条记
笔迹	字迹
笔据	字据
笔据	凭据
笔据	凭单
笔墨	翰墨
笔挺	笔直
笔挺	垂直
笔心	笔芯
笔芯	笔心
笔直	径直
笔直	笔挺
隐约	朦胧
隐约	模糊
印记	印章
鄙见	管见
鄙见	拙见
鄙俚	俗气
鄙俚	卑鄙
鄙吝	吝啬
鄙吝	小器
鄙吝	小气
鄙吝	吝惜
鄙陋	猥琐
鄙弃	鄙视
鄙弃	唾弃
鄙人	在下
鄙视	轻视
鄙视	忽视
鄙俗	粗鄙
鄙俗	粗俗
印迹	痕迹
鄙谚	俗谚
鄙夷	看不起
鄙夷	渺视
鄙夷	忽视
鄙意	愚见
印泥	紫泥
必定	必然
必定	必须
必定	一定
印象	追念
必将	势必
印象	记忆
印象	回忆
必然	必定
印油	印泥
必修	选修
必须	必需
必需	必须
必需	定然
必要	需要
印章	印记
英豪	英雄
毕竟	原形
毕竟	终究
毕竟	到底
毕命	逝世
毕命	断命
英豪	豪杰
毕生	终身
毕生	一生
毕生	终生
毕业	结业
闭合	紧闭
闭合	并拢
闭会	休会
闭会	散会
闭口	缄口
英华	精华
英魂	英灵
英俊	姣美
英俊	俊美
闭幕	落幕
闭塞	紧闭
闭塞	荆棘
闭塞	顽固
英俊	俊俏
英灵	英魂
英明	贤明
庇护	保卫
庇护	爱护
庇护	袒护
庇护	偏袒
庇荫	荫庇
哔叽	羽缎
敝宅	寒舍
婢女	丫鬟
英气	豪气
碧波	碧水
碧绿	苍翠
碧水	碧波
英武	威武
弊病	弊端
弊病	毛病
弊端	差错
弊端	毛病
英雄	豪杰
英雄	硬汉
避讳	隐晦
避祸	逃难
避忌	忌讳
避居	隐匿
避居	藏隐
避开	避让
避免	制止
避难	遁迹
避难	出亡
避难	流亡
避让	躲藏
避让	躲避
英雄	好汉
避债	躲债
英勇	无畏
璧还	奉璧
璧还	归还
璧还	退回
璧赵	璧还
边陲	边疆
边陲	边界
边陲	边境
边幅	仪容
边际	规模
边际	边沿
边界	规模
边界	边境
边界	领域
边境	边界
边境	边疆
边区	外地
边区	边境
边沿	边际
边沿	四周
边缘	边际
边缘	边沿
边远	遥远
编缉	主笔
编辑	编纂
编年	纪年
编削	窜改
编削	修削
编造	造谣
编造	臆造
英勇	神勇
英勇	勇敢
编制	体例
鞭策	督促
鞭策	策动
鞭策	鞭挞
鞭笞	鞭挞
英勇	果敢
鞭挞	鞭策
英姿	雄姿
贬斥	降低
贬斥	诋毁
贬斥	毁谤
贬价	跌价
贬抑	压抑
贬抑	诽谤
扁豆	藊豆
褊狭	狭小
藊豆	扁豆
弁急	急迫
弁急	遑急
弁冕	礼帽
弁言	序文
弁言	小序
弁言	序论
莺迁	搬迁
变成	形成
变成	造成
变成	酿成
变动	变更
变动	变化
变革	革新
变更	订正
变更	变换
变更	蜕变
变更	调度
变卦	变更
变卦	蜕变
变化	变革
变化	变动
变化	改变
膺惩	报复
膺惩	打击
膺选	当选
膺选	落选
膺选	录取
鹰犬	帮凶
鹰犬	虎伥
鹰视	虎睨
迎阿	谄媚
迎阿	巴结
迎风	顶风
变换	变幻
变换	幻化
变节	背叛
变乱	事务
变乱	事项
变乱	事变
变迁	变化
变迁	蜕变
变态	出格
变态	反常
变态	异常
变通	灵活
变为	变成
变质	改变
变质	蜕变
便当	便利
便服	燕服
便函	私函
便捷	便利
便捷	方便
便可	即可
便利	单纯
便利	便当
便是	就是
便条	条子
便宜	廉价
便宜	好处
遍布	普及
遍布	遍及
遍地	各处
遍地	到处
遍及	广博
遍及	普及
遍及	普遍
遍及	广泛
迎合	相合
迎合	逢迎
辨白	剖白
辨别	辨认
辨认	区别
辨认	鉴别
辩别	鉴别
辩驳	回嘴
辩驳	驳斥
辩才	谈锋
辩词	辩辞
辩辞	辩词
辩护	辩白
辩护	辩解
辩解	辩白
辩解	分辩
辩论	争辩
辩论	狡辩
辩论	谈论
辩说	辩论
标谤	毁谤
标兵	斥候
标的	方向
标的	目标
标记	标志
标明	表现
标明	表明
迎合	相投
迎接	款待
标识	标帜
标识	标记
标题	题目
迎面	当面
迎面	对面
迎战	扞卫
标语	口号
标志	记号
标志	标记
标志	象征
标帜	标记
标致	时髦
标致	美丽
标准	程序
标准	样板
标准	规范
彪炳	特出
彪炳	喧赫
表白	表露
表层	上层
表达	表白
表里	内外
迎战	护卫
表露	表白
表率	典型
表率	样板
表率	榜样
表面	外表
表明	表达
表明	声明
表明	表白
表明	解释
表明	说明
表情	神志
表情	脸色
表示	表白
表示	剖明
表示	呈现
表态	后相
表现	表示
表象	现象
表演	献艺
表演	扮演
表扬	称颂
表扬	夸奖
表扬	赞美
表彰	赞赏
表彰	赞誉
表彰	赞美
荧惑	姑息
荧惑	嗾使
荧惑	带动
荧惑	鼓励
别传	张扬
别传	外传
盈利	剩余
盈利	结余
别的	其余
别的	另外
别国	异国
别号	别名
盈余	结余
盈余	盈利
营建	修建
营建	营造
营救	救助
别离	分辨
别离	分离
别名	别号
别扭	难受
别扭	造作
营救	救援
营救	救济
别人	他人
别史	野史
营救	急救
营垒	堡垒
营利	盈利
营谋	活动
别致	新颖
蹩脚	糟糕
蹩脚	倒霉
宾服	敬重
宾服	佩服
宾客	来宾
营谋	运动
营商	经商
营生	谋生
营养	养分
营业	交易
营业	生意
营造	创办
濒临	接近
摈斥	摈弃
摈斥	摒除
摈除	驱除
摈除	撵走
摈弃	唾弃
摈弃	扫除
摈弃	抛弃
摈弃	丢弃
摈弃	清扫
鬓角	鬓脚
鬓脚	鬓角
营造	创造
冰冷	寒冬
冰冷	酷寒
冰凉	冰冷
冰片	龙脑
营造	营建
萦绕	缭绕
赢得	博得
赢得	获得
兵变	叛乱
赢利	获利
赢弱	瘦弱
赢输	胜负
兵法	战术
兵戈	打仗
兵戈	交战
兵戈	干戈
兵工	军工
赢余	结余
赢余	盈余
兵舰	艨艟
兵力	军力
郢正	郢政
郢正	指正
郢政	指正
兵马	戎马
兵器	武器
兵器	火器
颖慧	聪颖
颖悟	聪颖
兵士	士兵
兵士	战士
兵书	兵法
兵书	战术
兵营	军营
兵营	虎帐
兵种	军种
秉承	秉持
秉承	承袭
秉承	承受
秉持	秉承
秉性	天性
颖悟	颖慧
禀承	遵奉
禀赋	天性
禀赋	天禀
禀赋	天赋
禀赋	赋性
并不	其实不
颖悟	颖异
并存	共存
并非	并不是
颖异	颖慧
颖异	聪颖
影迹	影踪
影迹	踪迹
并立	独立
并拢	收拢
并拢	紧闭
并且	而且
影射	暗射
影戏	电影
影响	浸染
并吞	侵吞
并吞	打劫
并吞	吞并
并吞	侵夺
并无	并没有
病笃	垂死
病笃	垂危
病笃	危急
影响	感化
影象	记忆
影像	纪念
病弱	瘦弱
病弱	虚弱
病愈	全愈
病愈	痊愈
病院	医院
病征	病症
病症	病征
摒除	倾轧
摒除	架空
摒除	摈弃
摒挡	整理
摒挡	拾掇
摒弃	唾弃
摒弃	甩掉
摒弃	吐弃
拨开	扒开
影像	印象
拨弄	盘弄
波动	动摇
波动	震动
波动	振动
波及	触及
波及	涉及
波澜	波涛
影像	影象
波浪	海浪
